player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
Lollypop,J,8,裏ドラ,77,亜2,https://eldersign.jp/img/mi/p/f0/048_hydra_2g4.png,アースクェイク / スタンピード / ブレイズ / ペトロガス / ラーヴァフロウ,フレイムアシスト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=9&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=105&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=137&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=169&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=233&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=11&t=1,,,
Lollypop,J,8,ドラ1,65,原,https://eldersign.jp/img/mi/g/f0/048_hydra_0g4.png,アースクェイク / ダブルアタック / チャージ / ブレイズ / ベノムスクラッチ / ラーヴァフロウ,フレイムアシスト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=9&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=105&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=137&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=169&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=233&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=11&t=1,,,
Lollypop,J,5,猫も可愛いね (1),62,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,キャンセレイション / ドラゴニックロア / フライト / 光のベール / 月光浴,クィックオーダー / ハートオブフレイム / リジェネレイト / 命中ブースト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=9&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=233&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=11&t=1,,,,,,
Lollypop,J,3,猫も可愛いね (2),62,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,キャンセレイション / ドラゴニックロア / フライト,クィックオーダー / 命中ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=105&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=137&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=169&se=11&t=1,,,,,,,,
Lollypop,J,8,シルバードラゴン,69,原,https://eldersign.jp/img/mi/g/f0/050_silver-dragon_0g7.png,スリープクラウド / テンペスト / バーニングレイジ / フサリア / ヴェンデッタ,フレイムアシスト / フレイムバリア,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=9&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=105&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=137&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=169&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=233&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=265&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=298&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=11&t=1,,,
Lollypop,J,3,うねうね,69,亜1,https://eldersign.jp/img/mi/p/f0/055_dark-young_1g4.png,スタンピード / トライペック / トランキリティ / ベノムスクラッチ / メガリス,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=41&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=73&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=11&t=1,,,,,,,,
Lollypop,J,3,うにょうにょ,79,亜2,https://eldersign.jp/img/mi/p/f0/055_dark-young_2g4.png,ガッシマ / トライペック / ベノムスクラッチ / ホロウワールド / メガリス,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=41&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=73&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=11&t=1,,,,,,,,
Lollypop,J,3,46000anyちゃん,69,亜1,https://eldersign.jp/img/mi/p/f0/052_star-vampire_1g4.png,アンブッシュ / パンデミック / フォトケミカルスモッグ / 光のベール / 光の楔,セントリー / ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=41&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=73&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=11&t=1,,,,,,,,
Lollypop,J,3,歌ウ触ワン,69,亜2,https://eldersign.jp/img/mi/p/f0/051_old-one_2g4.png,エルフショット / ミラーズ / ユロール / 光のベール / 闇のベール,ハートオブフレイム / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=41&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=73&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=11&t=1,,,,,,,,
イマクロ,B,6,ブラスドラゴン,70,原,https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png,アウターキラー / アースクェイク / ウォークライ / ブラッドセイバー / ラーヴァフロウ,レジストシール / レジストペトリ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=1&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=35&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=37&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=39&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=41&se=11&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=43&se=11&t=1,,,,,
