player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
いも,B,6,ダークヤング (1),25,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g7.png,イボニーシード / ガッシマ / テケリ・リ / ドラウン / ペトロガス,リジェネレイト / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=43&se=12&t=1,,,,,
いも,B,5,ダークヤング (2),35,亜2,https://eldersign.jp/img/mi/p/f0/055_dark-young_2g4.png,ウォークライ / ガッシマ / スタンピード / ディスペル / ブラッドセイバー,ローズイズレッド / ヴァイオレッツブルー,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,,,,,,
いも,B,10,F.S.M.アゼランザ,40,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g7.png,アゼランザ / ハスタリーザ / ヒーリング / ルビーライト / 光のベール,ハートオブフレイム / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=43&se=12&t=1,
いも,B,11,アトラク＝ナクア,34,原,https://eldersign.jp/img/mi/g/f0/066_atlach-nacha_0g7.png,ゴッサマーチェイン / ダークボルト / ミラーズ / ユロール,レジストバインド,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=43&se=12&t=1
いも,B,11,スターヴァンパイア,40,原,https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g7.png,アンブッシュ / エナジードレイン / エルフショット / ミラーズ / ユロール,HPブースト / クィックオーダー / 地味づくり,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=1&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=34&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=35&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=36&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=37&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=39&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=41&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=43&se=12&t=1
いも,B,1,ティンダロスハウンド,47,原,https://eldersign.jp/img/mi/g/f0/054_hounds-of-tindalos_0g7.png,スタンピード / スパーク / フェイズアウト / ルルハラント / 光のベール,ハートオブフレイム / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,,,,,,,,,,
ねむ,K,10,ももこ,38,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アースクェイク / カロウシブスピット / セメタリーゲート / チャージ / ヒーリング,,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=298&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=331&se=12&t=1,
ねむ,K,6,さきいか,40,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g4.png,エルフショット / ダークボルト / ハスタリーザ / ヒーリング,カウンター / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=298&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=331&se=12&t=1,,,,,
ねむ,K,3,アーク先輩,22,原,https://eldersign.jp/img/mi/g/f0/057_arch-displacers_0g1.png,エルフショット / ハードブロウ / ヒーリング / ホロウワールド / ワインクラウド,カウンター / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=298&se=12&t=1,,,,,,,,
ねむ,K,10,アネモネ,36,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png,ウィンドボルト / エルフショット / テンペスト / 光のベール,カウンター / リフレクション / 戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=10&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=42&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=74&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=106&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=138&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=170&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=234&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=12&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=331&se=12&t=1,
