player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),urls
タカヤマン,ペリ／冷,49,亜種2,1,アイスランス / スノウストーム / ペイルムーン / 氷の刻印 / 氷の花,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1
タカヤマン,ケット・シー／１号,55,亜種2,5,ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,ハートオブフレイム / ハートオブマーブル / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=3&t=1
タカヤマン,スノウ／白,61,亜種2,2,ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印,ハートオブマーブル / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1
タカヤマン,サキュバス１,44,原種,5,アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン,ハートオブフレイム / ミラージュ / リジェネレイト / 守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=3&t=1
タカヤマン,ブラスドラゴン朱,53,亜種2,3,スタンピード / スパイクテイル / チャージ / ベノムスティング / 光の刻印,ハートオブマーブル / ミラージュ / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1
タカヤマン,パズズ赤目,46,亜種2,2,ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ,ハートオブマーブル / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=3&t=1
タカヤマン,F.S.M.～①,36,亜種2,2,スリープクラウド / 光のベール / 光の楔,ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1
タカヤマン,F.S.M.～１,56,原種,2,フォトケミカルスモッグ / 光のベール / 風葬,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1
タカヤマン,ペリ,49,亜種2,1,アイスランス / スノウストーム / ペイルムーン / 氷の刻印 / 氷の花,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1
タカヤマン,ハイドラ,42,亜種2,1,アウターキラー / カロウシブスピット / チャージ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1
タカヤマン,クン・アヌン黒,47,亜種1,1,アイギスシールド / クルセイド / 光のベール / 光の楔,心の棘 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1
タカヤマン,サキュバス２,43,原種,1,光の楔 / 悪魔のトリル / 闇の刻印 / 闇の楔,守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=3&t=1
タカヤマン,ドール／壱,45,原種,3,アウターキラー / アースクェイク / カロウシブスピット / スタンピード / チャージ,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=202&se=3&t=1
タカヤマン,ティンダロスハウンド@,37,亜種1,3,チャージ / フェイズアウト / ルルハラント / 光のベール / 光の楔,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=202&se=3&t=1
タカヤマン,F.S.M.～②,35,亜種2,3,アゼランザ / テンペスト / ミラーズ / ユロール / 光の楔,ハートオブオーシャン / ハートオブフレイム / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=202&se=3&t=1
タカヤマン,スターヴァンパイア☆ (1),43,原種,2,ミラーズ / ユロール / 光のベール / 光の楔 / 風葬,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=202&se=3&t=1
タカヤマン,スターヴァンパイア☆ (2),42,原種,1,ユロール / 光のベール / 光の楔 / 風葬,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1
タカヤマン,ブラスドラゴン,53,亜種2,3,スタンピード / スパイクテイル / チャージ / ベノムスティング / 光の刻印,ハートオブマーブル / ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1
タカヤマン,パズズ,45,亜種2,3,ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ,ハートオブマーブル / ミラージュ / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1
イマクロ,アークディスプレイサー,70,原種,7,スリープクラウド / セメタリーゲート / フェイズアウト / ホロウワールド,ハートオブウィンド / リフレクション / レジストシック / レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1
イマクロ,ティンダロスハウンド,70,原種,7,ダブルアタック / フェイズアウト / ルルハラント / 光の刻印,ハートオブウィンド / リフレクション / レジストバインド,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1
イマクロ,エアリエル,70,原種,7,セメタリーゲート / テンペスト / フェアリーエイド / 光の楔 / 悪魔のトリル,リフレクション / レジストシック / レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1
イマクロ,ルサルカ,70,原種,7,アイスランス / セメタリーゲート / ヒヤデスウィンド / フラッド / 光のベール,ハートオブフレイム / レジストシック / レジストスリープ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=67&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1
イマクロ,ブラスドラゴン,70,原種,4,アウターキラー / アースクェイク / チャージ / ディスプレイスメント / ホロウワールド,エンジェリックウィング / リフレクション / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1
イマクロ,ハイドラ,70,原種,4,アースクェイク / ガッシマ / スタンピード / ラーヴァフロウ / ルルハラント,エンジェリックウィング / リフレクション / レジストポイズン / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1
イマクロ,シムルグ,64,原種,4,アムネジア / ドラゴニックロア / ヒヤデスウィンド / 光のベール / 光の楔,ハートオブウィンド / リフレクション / レジストバインド,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1
イマクロ,ペリ,70,原種,4,キャンセレイション / トランキリティ / ポイズンクラウド / リヴァイヴ / 光の楔,ハートオブフレイム / リフレクション / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1
カリスト,フォマルガルバドーハ (1),54,亜種1,2,アースクェイク / カロウシブスピット / スタンピード / トライペック / 熱傷,セントリー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1
カリスト,フォマルガルバドーハ (2),53,亜種1,4,アースクェイク / カロウシブスピット / スタンピード / トライペック / 熱傷,エンジェリックウィング / セントリー / ハートオブマーブル / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
カリスト,フォマルガルバドーハ (3),45,亜種1,3,アースクェイク / カロウシブスピット / スタンピード / トライペック,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
カリスト,復活の淫夢くんU (1),45,亜種2,6,カラカス / チャージ / フォトケミカルスモッグ / ホロウワールド / 光のベール,カウンター / セントリー / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
カリスト,復活の淫夢くんU (2),44,亜種2,3,カラカス / チャージ / フォトケミカルスモッグ / ホロウワールド / 光のベール,エンジェリックウィング / ハートオブマーブル / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
カリスト,星のスピキ (1),52,亜種2,2,アンブッシュ / カラカス / ヒーリング / フォトケミカルスモッグ / 光のベール,クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1
カリスト,星のスピキ (2),51,亜種2,4,アンブッシュ / カラカス / ヒーリング / フォトケミカルスモッグ / 光のベール,クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
カリスト,星のスピキ (3),48,亜種2,4,アンブッシュ / カラカス / ヒーリング / フォトケミカルスモッグ / 光のベール,クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
カリスト,継承用外来後衛 (1),52,原種,4,ヒーリング / ミラーズ / ユロール / 光の楔 / 風葬,エンジェリックウィング / コールドバリア / ミラージュ / レジストバインド / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=104&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=266&se=3&t=1
カリスト,継承用外来後衛 (2),51,原種,2,ヒーリング / ミラーズ / ユロール / 風葬,エンジェリックウィング / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=136&se=3&t=1
カリスト,継承用外来後衛 (3),50,原種,3,セメタリーゲート / ヒーリング / ミラーズ / ユロール / 光の楔 / 風葬,ハートオブオーシャン / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=232&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=265&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
カリスト,ハイドラ,22,亜種1,1,クァドラストライク / スタンピード / チャージ,ビーストクッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1
カリスト,F.S.M.,38,原種,1,アゼランザ / セメタリーゲート / ハスタリーザ / ヒーリング,販促,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1
カリスト,アルルーナ,23,原種,1,エンジェルダスト / トランキリティ / ラストシュリーク,フェアリークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=3&t=1
カリスト,ドール,42,亜種1,1,アースクェイク / カロウシブスピット / スタンピード / トライペック,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1
