player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
ユウア,ドール (1),33,原種,5,アースクェイク / スタンピード / チャージ / ハードブロウ,エンジェリックウィング / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=5&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=37&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=69&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=170&se=4&t=1,,,,,,
ユウア,ドール (2),32,原種,5,アースクェイク / スタンピード / チャージ / ハードブロウ,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=5&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=37&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=69&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=170&se=4&t=1,,,,,,
ユウア,アークディスプレイサー,53,原種,7,アンブッシュ / ソリッドファントム / ホロウワールド / 光のベール / 光の楔,エンジェリックウィング / クィックオーダー / ハートオブオーシャン,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=5&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=37&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=69&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=168&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=170&se=4&t=1,,,,
ユウア,オールドワン,44,原種,7,ヒーリング / ミラーズ / ユロール / 悪魔のトリル,エンジェリックウィング / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=5&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=37&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=69&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=168&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=170&se=4&t=1,,,,
ユウア,ダークヤング (1),37,原種,5,ガッシマ / スタンピード / チャージ / ハードブロウ,エンジェリックウィング / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=101&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=166&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=168&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=169&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=171&se=4&t=1,,,,,,
ユウア,ダークヤング (2),32,原種,1,ガッシマ / スタンピード / チャージ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=101&se=4&t=1,,,,,,,,,,
ユウア,ブラスドラゴン (1),37,亜種1,1,チャージ / ドラゴンスケイル,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=133&se=4&t=1,,,,,,,,,,
ユウア,ブラスドラゴン (2),30,亜種1,1,ドラゴンスケイル,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=133&se=4&t=1,,,,,,,,,,
ユウア,エアリエル,48,原種,4,セメタリーゲート / テンペスト / フェアリーエイド,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=133&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=166&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=169&se=4&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=171&se=4&t=1,,,,,,,
ユウア,サキュバス,38,原種,1,アウェイクニング / セメタリーゲート,ハートオブフレイム / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=133&se=4&t=1,,,,,,,,,,
