player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
タカヤマン,ケット・シー／１号,60,亜種2,3,テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,ハートオブウィンド,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,,,,,,,,
タカヤマン,ケット・シー／２号,70,亜種2,3,アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,,,,,,,,
タカヤマン,スノウ／白,69,亜種2,4,ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=201&se=6&t=1,,,,,,,
タカヤマン,サキュバス／１,48,原種,3,アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,,,,,,,,
タカヤマン,ドール／壱,54,原種,6,アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ,アウタークッキー / ハートオブオーシャン / ミラージュ / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=6&t=1,,,,,
タカヤマン,アトラク×ナクア,28,亜種1,1,ディスペル / ブラッドセイバー / 光のベール,アウタークッキー,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,,,,,,,,,,
タカヤマン,F.S.M.～②,46,亜種2,5,テンペスト / フォトケミカルスモッグ / ミラーズ / ユロール / 光の楔,アウタークッキー / ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=6&t=1,,,,,,
タカヤマン,スターヴァンパイア☆☆,47,原種,2,アンブッシュ / ミラーズ / 光のベール / 光の楔,アウタークッキー / ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=6&t=1,,,,,,,,,
タカヤマン,ティンダロスハウンド@,47,亜種1,3,スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔,リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=6&t=1,,,,,,,,
タカヤマン,スターヴァンパイア☆,47,原種,4,ミラーズ / ユロール / 光のベール / 光の楔 / 風葬,ハートオブフレイム / ミラージュ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=102&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=134&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=199&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=6&t=1,,,,,,,
タカヤマン,スノウ／紺,38,亜種1,1,アイギスシールド / フサリア / ペイルムーン / 光のベール,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,,,,,,,,,,
タカヤマン,スノウ／藍,52,亜種1,1,テンペスト / ヒヤデスウィンド / フェアリーエイド / フサリア,ミラージュ / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,,,,,,,,,,
タカヤマン,ドール／弐,43,原種,1,ミラーズ / ユロール / 光のベール,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=200&se=6&t=1,,,,,,,,,,
